Whisk_Name,URL,Num_Revs,Brand,Cost,Age,ABV,Flavor,Profile
PORT CHARLOTTE THE PEAT PROJECT,https://distiller.com/spirits/port-charlotte-the-peat-project,63,Port Charlotte,spirit-cost cost-3,NAS,46.0,SPICY & PEATY,"{""smoky"":90,""peaty"":94,""spicy"":94,""herbal"":63,""oily"":84,""full_bodied"":88,""rich"":91,""sweet"":78,""briny"":83,""salty"":83,""vanilla"":78,""tart"":73,""fruity"":79,""floral"":88}"
ARDBEG GALILEO,https://distiller.com/spirits/ardbeg-galileo,63,Ardbeg,spirit-cost cost-5,12 YEARS,49.0,NA,NA
LAPHROAIG CAIRDEAS 2020 PORT & WINE CASKS,https://distiller.com/spirits/laphroaig-cairdeas-2020-port-wine-casks,63,Laphroaig,spirit-cost cost-3,NAS,52.0,SMOKY & SWEET,"{""smoky"":60,""peaty"":50,""spicy"":40,""herbal"":25,""oily"":30,""full_bodied"":50,""rich"":50,""sweet"":55,""briny"":40,""salty"":25,""vanilla"":15,""tart"":10,""fruity"":40,""floral"":0}"
ARDBEG BLAAACK (2020 COMMITTEE RELEASE),https://distiller.com/spirits/ardbeg-blaaack-2020-committee-release,70,Ardbeg,spirit-cost cost-4,NAS,50.7,PEATY & SPICY,"{""smoky"":50,""peaty"":85,""spicy"":65,""herbal"":55,""oily"":20,""full_bodied"":45,""rich"":45,""sweet"":40,""briny"":30,""salty"":30,""vanilla"":25,""tart"":35,""fruity"":20,""floral"":0}"
ARDBEG GROOVES (2018 COMMITTEE RELEASE),https://distiller.com/spirits/ardbeg-grooves-2018-committee-release,66,Ardbeg,spirit-cost cost-4,NAS,51.6,FULL BODIED & OILY,"{""smoky"":70,""peaty"":40,""spicy"":30,""herbal"":20,""oily"":80,""full_bodied"":80,""rich"":70,""sweet"":50,""briny"":60,""salty"":40,""vanilla"":50,""tart"":10,""fruity"":20,""floral"":0}"
ARDBEG 17 YEAR,https://distiller.com/spirits/ardbeg-17-year,62,Ardbeg,spirit-cost cost-5,17 YEAR,40.0,VANILLA & PEATY,"{""smoky"":65,""peaty"":70,""spicy"":10,""herbal"":15,""oily"":15,""full_bodied"":5,""rich"":20,""sweet"":65,""briny"":55,""salty"":45,""vanilla"":70,""tart"":0,""fruity"":5,""floral"":15}"
THE BALVENIE PEATED CASK 17 YEAR,https://distiller.com/spirits/the-balvenie-peated-cask-17-year,67,The Balvenie,spirit-cost cost-4,17 YEARS,43.0,RICH & FULL BODIED,"{""smoky"":35,""peaty"":15,""spicy"":20,""herbal"":30,""oily"":15,""full_bodied"":80,""rich"":80,""sweet"":78,""briny"":10,""salty"":15,""vanilla"":40,""tart"":0,""fruity"":10,""floral"":10}"
LAGAVULIN 10 YEAR,https://distiller.com/spirits/lagavulin-10-year,62,Lagavulin,spirit-cost cost-2,10 YEAR,43.0,NA,NA
PEAT'S BEAST SINGLE MALT,https://distiller.com/spirits/peat-s-beast-whisky,59,Peat's Beast,spirit-cost cost-2,NAS,46.0,SWEET,"{""smoky"":25,""peaty"":25,""spicy"":10,""herbal"":5,""oily"":15,""full_bodied"":15,""rich"":25,""sweet"":30,""briny"":10,""salty"":15,""vanilla"":25,""tart"":10,""fruity"":20,""floral"":0}"
HIGHLAND PARK LOYALTY OF THE WOLF 14 YEAR,https://distiller.com/spirits/highland-park-loyalty-of-the-wolf-14-year,61,Highland Park,spirit-cost cost-3,14 YEAR,42.3,NA,NA
OCTOMORE 07.4/167 VIRGIN OAK,https://distiller.com/spirits/octomore-7-4-167-virgin-oak,60,Octomore,spirit-cost cost-5,7 YEAR,61.2,PEATY & SMOKY,"{""smoky"":85,""peaty"":95,""spicy"":65,""herbal"":50,""oily"":30,""full_bodied"":55,""rich"":75,""sweet"":50,""briny"":40,""salty"":50,""vanilla"":50,""tart"":60,""fruity"":20,""floral"":35}"
THE GLENROTHES PEATED CASK RESERVE,https://distiller.com/spirits/the-glenrothes-peated-cask-reserve,58,The Glenrothes,spirit-cost cost-3,NAS,40.0,SWEET,"{""smoky"":10,""peaty"":15,""spicy"":5,""herbal"":5,""oily"":0,""full_bodied"":50,""rich"":50,""sweet"":70,""briny"":0,""salty"":10,""vanilla"":50,""tart"":10,""fruity"":40,""floral"":5}"
OCTOMORE 10.1/107 SCOTTISH BARLEY,https://distiller.com/spirits/octomore-10-1-107-scottish-barley,57,Octomore,spirit-cost cost-4,5 YEAR,59.8,RICH,"{""smoky"":50,""peaty"":40,""spicy"":25,""herbal"":10,""oily"":25,""full_bodied"":50,""rich"":60,""sweet"":20,""briny"":20,""salty"":10,""vanilla"":30,""tart"":10,""fruity"":25,""floral"":10}"
